ISC file: c1908.isc

Gate	Type	Fanout
1	PI	 190 343
4	PI	 194 346
7	PI	 197 349
10	PI	 201 352
13	PI	 206 355
16	PI	 209 358
19	PI	 212 361
22	PI	 216 364
25	PI	 220 367
28	PI	 225 370
31	PI	 229 373
34	PI	 232 376
37	PI	 235 379
40	PI	 239 382
43	PI	 243 385
46	PI	 247 388
49	PI	 592 897 907
53	PI	 724 899
56	PI	 643 898 910
60	PI	 655 903
63	PI	 251 574
66	PI	 252 586
69	PI	 257 260
72	PI	 253 256 603
76	PI	 263 2815
79	PI	 266 2829
82	PI	 269 2818
85	PI	 272 2821
88	PI	 251 277
91	PI	 252 280
94	PI	 283 290 297 300
99	PI	 303 306 313 2800
104	PI	 275 276 316 319 326 331 338
190	NOT	 556 628 631
194	NOT	 559 634
197	NOT	 640 688 691
201	NOT	 616 649 712 715
206	NOT	 562 718
209	NOT	 565 736
212	NOT	 694 697 748
216	NOT	 619 721 739
220	NOT	 577 622 730 733
225	NOT	 568 742 751
229	NOT	 580 637
232	NOT	 583 646
235	NOT	 652 706 709
239	NOT	 589 598 625
243	NOT	 571 727 745
247	NOT	 595 700 703
251	NAND	 682
252	NAND	 685
253	NOT	 592 724
256	NOT	 612
257	BUF	 643 655
260	BUF	 603 608
263	NOT	 658 661
266	NOT	 664 667
269	NOT	 670 673
272	NOT	 676 679
275	NOT	 2773
276	NOT	 2776
277	NOT	 601 921
280	NOT	 602 922
283	BUF	 2812 2815 2818 2821 2824 2829
290	NOT	 1802 1858 1889 2062 2078 2081
297	BUF	 921 922
300	NOT	 608 612
303	BUF	 923 926
306	NOT	 550 551 552 553 554 555
313	NOT	 2384 2384
316	BUF	 682 685
319	NOT	 574 586 592 643 655 724
326	BUF	 601 602 921 922
331	BUF	 550 551 552 553 554 555
338	NOT	 923 926 2384 2800
343	BUF	 534 2720
346	BUF	 535 2721
349	BUF	 536 2722
352	BUF	 537 2723
355	BUF	 538 2757
358	BUF	 539 2758
361	BUF	 540 2759
364	BUF	 541 2760
367	BUF	 542 2761
370	BUF	 543 2734
373	BUF	 544 2763
376	BUF	 545 2764
379	BUF	 546 2765
382	BUF	 547 2766
385	BUF	 548 2743
388	BUF	 549 2744
534	NOT	 2669
535	NOT	 2671
536	NOT	 2673
537	NOT	 2675
538	NOT	 2724
539	NOT	 2726
540	NOT	 2728
541	NOT	 2730
542	NOT	 2732
543	NOT	 2682
544	NOT	 2735
545	NOT	 2737
546	NOT	 2739
547	NOT	 2741
548	NOT	 2688
549	NOT	 2690
550	NAND	 2886
551	NAND	 2887
552	NAND	 2899
553	NAND	 2888
554	NAND	 2889
555	NAND	 2890
556	BUF	 935 939
559	BUF	 1010 1013
562	BUF	 943 947
565	BUF	 1016 1019
568	BUF	 951 955
571	BUF	 1022 1025
574	AND	 959 962
577	BUF	 1028 1031
580	BUF	 965 969
583	BUF	 1034 1037
586	AND	 973 977
589	BUF	 1040 1043
592	AND	 981 985
595	BUF	 994 998
598	BUF	 1046 1049
601	NAND	 1965
602	NAND	 1968
603	NAND	 921 922 923 926
608	NAND	 898 903 910
612	NAND	 897 899 907
616	BUF	 888 1055
619	BUF	 889 1054
622	BUF	 890 1064
625	BUF	 891 1063
628	BUF	 984 1322
631	BUF	 892 1267
634	BUF	 990 1433
637	BUF	 993 1434
640	BUF	 1004 1438
643	AND	 893 1706
646	BUF	 1007 1439
649	BUF	 894 1412
652	BUF	 895 1068
655	AND	 896 1067
658	BUF	 914 2235
661	BUF	 913 2234
664	BUF	 916 2231
667	BUF	 915 2230
670	BUF	 918 2009
673	BUF	 917 2008
676	BUF	 920 1942
679	BUF	 919 1941
682	AND	 886 2881
685	AND	 887 2882
688	BUF	 938 1309
691	BUF	 942 1310
694	BUF	 946 1311
697	BUF	 950 1312
700	BUF	 954 1313
703	BUF	 958 1314
706	BUF	 968 1315
709	BUF	 972 1316
712	BUF	 976 1317
