ISC file: c7552.isc

Gate	Type	Fanout
1	PI	 590 388 387
5	PI	 596 593 585
9	PI	 632 628
12	PI	 632 628
15	PI	 625 582
18	PI	 695 689 682 676
23	PI	 2346 1930
26	PI	 2345 1929
29	PI	 2344 1928
32	PI	 2381 2012
35	PI	 2380 2011
38	PI	 636 614
41	PI	 2343 1927
44	PI	 2342 1926
47	PI	 2379 2010
50	PI	 2382 2013
53	PI	 2424
54	PI	 2425
55	PI	 2426
56	PI	 2427
57	PI	 467
58	PI	 2396
59	PI	 2399
60	PI	 2403
61	PI	 2404
62	PI	 2405
63	PI	 2434
64	PI	 2433
65	PI	 2429
66	PI	 2383 2014
69	PI	 2418
70	PI	 2419 2367
73	PI	 2423
74	PI	 2420
75	PI	 2422
76	PI	 2421
77	PI	 2397
78	PI	 2398
79	PI	 2402
80	PI	 2401
81	PI	 2400
82	PI	 2428
83	PI	 2430
84	PI	 2431
85	PI	 2432
86	PI	 2435
87	PI	 2361
88	PI	 2363
89	PI	 9790 9735 9734 9407
94	PI	 2329 2324
97	PI	 2328 2323
100	PI	 2308 2303
103	PI	 2304 2299
106	PI	 674 657
109	PI	 2436
110	PI	 2437
111	PI	 2360
112	PI	 2362
113	PI	 2359
114	PI	 2358
115	PI	 2326 2321
118	PI	 2327 2322
121	PI	 2330 2325
124	PI	 2307 2302
127	PI	 2306 2301
130	PI	 2305 2300
133	PI	 469
134	PI	 469
135	PI	 2286 2281
138	PI	 2284 2279
141	PI	 2282 2277
144	PI	 2285 2280
147	PI	 2283 2278
150	PI	 528
151	PI	 1863
152	PI	 578
153	PI	 1820
154	PI	 1819
155	PI	 1818
156	PI	 1817
157	PI	 1816
158	PI	 1866
159	PI	 1865
160	PI	 1864
161	PI	 1862
162	PI	 494
163	PI	 1781
164	PI	 1798
165	PI	 1797
166	PI	 1796
167	PI	 1795
168	PI	 1794
169	PI	 1793
170	PI	 1782
171	PI	 1858
172	PI	 494
173	PI	 1815
174	PI	 1814
175	PI	 1813
176	PI	 1812
177	PI	 1811
178	PI	 1861
179	PI	 1860
180	PI	 1859
181	PI	 1857
182	PI	 575
183	PI	 575
184	PI	 528
185	PI	 575
186	PI	 575
187	PI	 2924
188	PI	 494
189	PI	 2378
190	PI	 2377
191	PI	 2376
192	PI	 2375
193	PI	 2374
194	PI	 2927
195	PI	 2926
196	PI	 2925
197	PI	 2923
198	PI	 2338
199	PI	 494
200	PI	 2917
201	PI	 2916
202	PI	 2915
203	PI	 2914
204	PI	 2913
205	PI	 2341
206	PI	 2340
207	PI	 2339
208	PI	 2337
209	PI	 1957
210	PI	 578
211	PI	 1963
212	PI	 1962
213	PI	 1961
214	PI	 1960
215	PI	 1959
216	PI	 1958
217	PI	 2929
218	PI	 578
219	PI	 3009
220	PI	 3008
221	PI	 3007
222	PI	 3006
223	PI	 3005
224	PI	 2932
225	PI	 2931
226	PI	 2930
227	PI	 2928
228	PI	 528
229	PI	 2934
230	PI	 578
231	PI	 2922
232	PI	 2921
233	PI	 2920
234	PI	 2919
235	PI	 2918
236	PI	 2937
237	PI	 2936
238	PI	 2935
239	PI	 2933
240	PI	 528
241	PI	 11343
242	PI	 1112 1110
245	PI	 2364 641
248	PI	 642 478
251	PI	 644 643
254	PI	 651 482
257	PI	 660 484
260	PI	 666 486
263	PI	 688 672 489
267	PI	 700 673 492
271	PI	 2365 705
274	PI	 706 501
277	PI	 708 707
280	PI	 715 505
283	PI	 721 507
286	PI	 727 509
289	PI	 733 599 511
293	PI	 734 513
296	PI	 742 515
299	PI	 748 604 517
303	PI	 749 609 519
307	PI	 758 535
310	PI	 759 537
313	PI	 762 539
316	PI	 768 541
319	PI	 774 543
322	PI	 780 545
325	PI	 786 547
328	PI	 794 549
331	PI	 800 551
334	PI	 806 553
337	PI	 812 556
340	PI	 814 813
343	PI	 821 559
346	PI	 827 561
349	PI	 833 563
352	PI	 839 565
355	PI	 845 567
358	PI	 853 569
361	PI	 859 571
364	PI	 865 573
367	PI	 10061 10059 10043 10041 10022 10015 9773 9767 9288 9287 9286 9285 871 750
382	PI	 1029 1028 700 688
387	BUF	 11344
388	BUF	 11345
467	NOT	 881
469	AND	 1113 1109
478	BUF	 11346
482	BUF	 11347
484	BUF	 11348
486	BUF	 11349
489	BUF	 11350
492	BUF	 11351
494	AND	 887 885
501	BUF	 11352
505	BUF	 11353
507	BUF	 11354
509	BUF	 11355
511	BUF	 11356
513	BUF	 11357
515	BUF	 11358
517	BUF	 11359
519	BUF	 11360
528	AND	 886 882
535	BUF	 11361
537	BUF	 11362
539	BUF	 11363
541	BUF	 11364
543	BUF	 11365
545	BUF	 11366
547	BUF	 11367
549	BUF	 11368
551	BUF	 11369
553	BUF	 11370
556	BUF	 11371
559	BUF	 11372
561	BUF	 11373
563	BUF	 11374
565	BUF	 11375
567	BUF	 11376
569	BUF	 11377
571	BUF	 11378
573	BUF	 11379
575	AND	 887 884
