ISC file: c1355.isc

Gate	Type	Fanout
1	PI	 1228 1132 394 362 314 266
8	PI	 1230 1135 398 363 320 266
15	PI	 1232 1138 402 364 326 269
22	PI	 1234 1141 406 365 332 269
29	PI	 1236 1144 395 366 314 272
36	PI	 1238 1147 399 367 320 272
43	PI	 1240 1150 403 368 326 275
50	PI	 1242 1153 407 369 332 275
57	PI	 1244 1156 396 370 317 278
64	PI	 1246 1159 400 371 323 278
71	PI	 1248 1162 404 372 329 281
78	PI	 1250 1165 408 373 335 281
85	PI	 1252 1168 397 374 317 284
92	PI	 1254 1171 401 375 323 284
99	PI	 1256 1174 405 376 329 287
106	PI	 1258 1177 409 377 335 287
113	PI	 1260 1180 410 378 338 290
120	PI	 1262 1183 414 379 344 290
127	PI	 1264 1186 418 380 350 293
134	PI	 1266 1189 422 381 356 293
141	PI	 1268 1192 411 382 338 296
148	PI	 1270 1195 415 383 344 296
155	PI	 1272 1198 419 384 350 299
162	PI	 1274 1201 423 385 356 299
169	PI	 1276 1204 412 386 341 302
176	PI	 1278 1207 416 387 347 302
183	PI	 1280 1210 420 388 353 305
190	PI	 1282 1213 424 389 359 305
197	PI	 1284 1216 413 390 341 308
204	PI	 1286 1219 417 391 347 308
211	PI	 1288 1222 421 392 353 311
218	PI	 1290 1225 425 393 359 311
225	PI	 242
226	PI	 245
227	PI	 248
228	PI	 251
229	PI	 254
230	PI	 257
231	PI	 260
232	PI	 263
233	PI	 263 260 257 254 251 248 245 242
242	AND	 754 730
245	AND	 756 733
248	AND	 758 736
251	AND	 760 739
254	AND	 762 742
257	AND	 764 745
260	AND	 766 748
263	AND	 768 751
266	NAND	 363 362
269	NAND	 365 364
272	NAND	 367 366
275	NAND	 369 368
278	NAND	 371 370
281	NAND	 373 372
284	NAND	 375 374
287	NAND	 377 376
290	NAND	 379 378
293	NAND	 381 380
296	NAND	 383 382
299	NAND	 385 384
302	NAND	 387 386
305	NAND	 389 388
308	NAND	 391 390
311	NAND	 393 392
314	NAND	 395 394
317	NAND	 397 396
320	NAND	 399 398
323	NAND	 401 400
326	NAND	 403 402
329	NAND	 405 404
332	NAND	 407 406
335	NAND	 409 408
338	NAND	 411 410
341	NAND	 413 412
344	NAND	 415 414
347	NAND	 417 416
350	NAND	 419 418
353	NAND	 421 420
356	NAND	 423 422
359	NAND	 425 424
362	NAND	 426
363	NAND	 426
364	NAND	 429
365	NAND	 429
366	NAND	 432
367	NAND	 432
368	NAND	 435
369	NAND	 435
370	NAND	 438
371	NAND	 438
372	NAND	 441
373	NAND	 441
374	NAND	 444
375	NAND	 444
376	NAND	 447
377	NAND	 447
378	NAND	 450
379	NAND	 450
380	NAND	 453
381	NAND	 453
382	NAND	 456
383	NAND	 456
384	NAND	 459
385	NAND	 459
386	NAND	 462
387	NAND	 462
388	NAND	 465
389	NAND	 465
390	NAND	 468
391	NAND	 468
392	NAND	 471
393	NAND	 471
394	NAND	 474
395	NAND	 474
396	NAND	 477
397	NAND	 477
398	NAND	 480
399	NAND	 480
400	NAND	 483
401	NAND	 483
402	NAND	 486
403	NAND	 486
404	NAND	 489
405	NAND	 489
406	NAND	 492
407	NAND	 492
408	NAND	 495
409	NAND	 495
410	NAND	 498
411	NAND	 498
412	NAND	 501
413	NAND	 501
414	NAND	 504
415	NAND	 504
416	NAND	 507
417	NAND	 507
418	NAND	 510
419	NAND	 510
420	NAND	 513
421	NAND	 513
422	NAND	 516
423	NAND	 516
424	NAND	 519
425	NAND	 519
426	NAND	 570 522
429	NAND	 571 522
432	NAND	 572 525
435	NAND	 573 525
438	NAND	 574 528
441	NAND	 575 528
444	NAND	 576 531
447	NAND	 577 531
450	NAND	 578 534
453	NAND	 579 534
456	NAND	 580 537
459	NAND	 581 537
462	NAND	 582 540
465	NAND	 583 540
468	NAND	 584 543
471	NAND	 585 543
474	NAND	 586 546
477	NAND	 587 546
480	NAND	 588 549
483	NAND	 589 549
486	NAND	 590 552
489	NAND	 591 552
492	NAND	 592 555
495	NAND	 593 555
498	NAND	 594 558
501	NAND	 595 558
504	NAND	 596 561
507	NAND	 597 561
510	NAND	 598 564
513	NAND	 599 564
516	NAND	 600 567
519	NAND	 601 567
522	NAND	 571 570
525	NAND	 573 572
528	NAND	 575 574
531	NAND	 577 576
534	NAND	 579 578
537	NAND	 581 580
540	NAND	 583 582
543	NAND	 585 584
546	NAND	 587 586
549	NAND	 589 588
552	NAND	 591 590
555	NAND	 593 592
558	NAND	 595 594
561	NAND	 597 596
564	NAND	 599 598
567	NAND	 601 600
570	NAND	 602
571	NAND	 602
572	NAND	 607
573	NAND	 607
574	NAND	 612
575	NAND	 612
576	NAND	 617
577	NAND	 617
578	NAND	 622
579	NAND	 622
580	NAND	 627
581	NAND	 627
582	NAND	 632
583	NAND	 632
584	NAND	 637
585	NAND	 637
586	NAND	 642
587	NAND	 642
588	NAND	 645
589	NAND	 645
590	NAND	 648
591	NAND	 648
592	NAND	 651
593	NAND	 651
594	NAND	 654
595	NAND	 654
596	NAND	 657
597	NAND	 657
598	NAND	 660
599	NAND	 660
600	NAND	 663
601	NAND	 663
602	NAND	 694 690 672 666
607	NAND	 696 691 675 666
612	NAND	 695 692 672 669
617	NAND	 697 693 675 669
622	NAND	 702 698 684 678
627	NAND	 704 699 687 678
632	NAND	 703 700 684 681
637	NAND	 705 701 687 681
642	NAND	 818 794
645	NAND	 820 797
648	NAND	 822 800
651	NAND	 824 803
654	NAND	 826 806
657	NAND	 828 809
660	NAND	 830 812
663	NAND	 832 815
666	NAND	 691 690
669	NAND	 693 692
672	NAND	 695 694
675	NAND	 697 696
678	NAND	 699 698
681	NAND	 701 700
684	NAND	 703 702
687	NAND	 705 704
690	NAND	 706
691	NAND	 706
692	NAND	 709
693	NAND	 709
694	NAND	 712
695	NAND	 712
696	NAND	 715
697	NAND	 715
698	NAND	 718
699	NAND	 718
700	NAND	 721
701	NAND	 721
702	NAND	 724
703	NAND	 724
704	NAND	 727
705	NAND	 727
706	NAND	 763 742
709	NAND	 765 745
712	NAND	 767 748
715	NAND	 769 751
718	NAND	 755 730
721	NAND	 757 733
724	NAND	 759 736
727	NAND	 761 739
730	NAND	 755 754
733	NAND	 757 756
736	NAND	 759 758
739	NAND	 761 760
742	NAND	 763 762
745	NAND	 765 764
748	NAND	 767 766
751	NAND	 769 768
754	NAND	 770
755	NAND	 770
756	NAND	 773
757	NAND	 773
758	NAND	 776
759	NAND	 776
760	NAND	 779
761	NAND	 779
762	NAND	 782
763	NAND	 782
764	NAND	 785
765	NAND	 785
766	NAND	 788
767	NAND	 788
768	NAND	 791
769	NAND	 791
770	NAND	 819 794
773	NAND	 821 797
776	NAND	 823 800
779	NAND	 825 803
782	NAND	 827 806
785	NAND	 829 809
788	NAND	 831 812
791	NAND	 833 815
794	NAND	 819 818
797	NAND	 821 820
800	NAND	 823 822
803	NAND	 825 824
806	NAND	 827 826
809	NAND	 829 828
812	NAND	 831 830
815	NAND	 833 832
818	NAND	 834
819	NAND	 834
820	NAND	 847
821	NAND	 847
822	NAND	 860
823	NAND	 860
824	NAND	 873
825	NAND	 873
826	NAND	 925
827	NAND	 925
828	NAND	 886
829	NAND	 886
830	NAND	 912
831	NAND	 912
832	NAND	 899
833	NAND	 899
834	NAND	 1072 1060 1048 1036 1021 1016 981 976 974 944 941 938
847	NAND	 1075 1063 1051 1039 1031 1026 980 972 970 947 942 939
860	NAND	 1078 1066 1054 1042 1026 1016 979 977 973 948 945 940
873	NAND	 1081 1069 1057 1045 1031 1021 978 975 971 949 946 943
886	NAND	 1123 1111 1099 1087 1011 1006 984 967 962 959 952 950
899	NAND	 1129 1117 1105 1093 1011 1001 982 969 966 963 955 951
912	NAND	 1126 1114 1102 1090 1006 996 983 968 965 960 957 953
925	NAND	 1120 1108 1096 1084 1001 996 985 964 961 958 956 954
938	NOT	 978
939	NOT	 978
940	NOT	 978
941	NOT	 979
942	NOT	 979
943	NOT	 979
944	NOT	 980
945	NOT	 980
946	NOT	 980
947	NOT	 981
948	NOT	 981
949	NOT	 981
950	NOT	 996
951	NOT	 996
952	NOT	 1001
953	NOT	 1001
954	NOT	 1006
955	NOT	 1006
956	NOT	 1011
957	NOT	 1011
958	NOT	 982
959	NOT	 982
960	NOT	 982
961	NOT	 983
962	NOT	 983
